iter	MultiClass
0	1.494867536
1	1.245001729
2	1.078039274
3	0.9546271821
4	0.8605952894
5	0.7869980805
6	0.7231482411
7	0.6728479328
8	0.629636897
9	0.5914992356
10	0.5594638755
11	0.5323905951
12	0.5099519699
13	0.4898202634
14	0.4722094707
15	0.4576241801
16	0.443587809
17	0.4303029826
18	0.4201176412
19	0.4098334159
20	0.4020234514
21	0.3943677779
22	0.3869420062
23	0.3807656154
24	0.3747533372
25	0.3684765411
26	0.3636948812
27	0.3598444119
28	0.3558279617
29	0.3520223304
30	0.3477981038
31	0.3445106458
32	0.3423043726
33	0.3382855737
34	0.3357243323
35	0.3331582336
36	0.3296802138
37	0.3276887362
38	0.3256981394
39	0.3236141033
40	0.320925714
41	0.3190909829
42	0.316103513
43	0.3141033347
44	0.3118950063
45	0.3096856905
46	0.3084980154
47	0.306099232
48	0.3044556765
49	0.3032077903
50	0.3021684278
51	0.3009358346
52	0.2993719467
53	0.2972651713
54	0.2960500062
55	0.2953005165
56	0.2943359108
57	0.2932213378
58	0.2921295575
59	0.2909334219
60	0.2901694666
61	0.2889374872
62	0.2878509647
63	0.2867178426
64	0.285648588
65	0.2845892619
66	0.2832309086
67	0.2816938435
68	0.2803708002
69	0.2798529738
70	0.2789983282
71	0.2784001403
72	0.2773436966
73	0.2761661368
74	0.2755537235
75	0.2748521945
76	0.2741112187
77	0.2734050458
78	0.2726650842
79	0.2717794255
80	0.2713088126
81	0.2707778284
82	0.269749889
83	0.2691022457
84	0.268002512
85	0.2672886526
86	0.2666714352
87	0.2659043038
88	0.2652694715
89	0.2644568615
90	0.2640789406
91	0.2635255908
92	0.2628391413
93	0.2620858884
94	0.2612797372
95	0.2607339672
96	0.2601298543
97	0.2594925932
98	0.2588809539
99	0.2583091884
100	0.2579672714
101	0.2574902797
102	0.2568891827
103	0.2563718101
104	0.2558605226
105	0.255515483
106	0.255133105
107	0.2547415993
108	0.2539368093
109	0.2536809921
110	0.2532365614
111	0.2529152219
112	0.2524968934
113	0.2522123584
114	0.2516052029
115	0.2506451878
116	0.2502609949
117	0.2498843818
118	0.2494045077
119	0.2490895737
120	0.2487039396
121	0.248348411
122	0.2480304878
123	0.2478112082
124	0.2471229172
125	0.2464516005
126	0.2461630088
127	0.2457319762
128	0.2453884845
129	0.2450745646
130	0.2446199386
131	0.2442276322
132	0.2439359445
133	0.2434206537
134	0.2428744833
135	0.2426640913
136	0.2424380594
137	0.2418324519
138	0.2413446243
139	0.2409248012
140	0.240485228
141	0.2399445022
142	0.2394336952
143	0.2390610321
144	0.2388860835
145	0.2387448169
146	0.2383748495
147	0.2381227154
148	0.2375389931
149	0.2371269366
150	0.2367151736
151	0.2363735502
152	0.2358748868
153	0.235422823
154	0.2351992732
155	0.2347939958
156	0.2344211458
157	0.234199064
158	0.2337863669
159	0.2334525101
160	0.2332990464
161	0.2327433746
162	0.2325035177
163	0.2321941617
164	0.2319574273
165	0.2312228036
166	0.2306828251
167	0.2303687451
168	0.2301309966
169	0.2299280776
170	0.229512071
171	0.2292390659
172	0.2290458886
173	0.2286814992
174	0.2282698163
175	0.2280611591
176	0.2277969348
177	0.2275520335
178	0.2273945932
179	0.2271438469
180	0.2269503226
181	0.226695573
182	0.2263244846
183	0.226081238
184	0.2257700672
185	0.2255474515
186	0.2252762612
187	0.2250850589
188	0.2249321557
189	0.224710661
190	0.2244797182
191	0.2242357511
192	0.2239968816
193	0.2238574299
194	0.2235936459
195	0.2233804115
196	0.2228942921
197	0.2226836466
198	0.2225194939
199	0.2222322633
200	0.2219109906
201	0.2217786916
202	0.2215705548
203	0.2213847304
204	0.2212715943
205	0.2208390404
206	0.2206091118
207	0.2202968867
208	0.2200726964
209	0.2194273084
210	0.2192653843
211	0.2189721219
212	0.218597297
213	0.2184061347
214	0.2182481472
215	0.2180094379
216	0.2177996331
217	0.2175040087
218	0.2173176505
219	0.2171661352
220	0.2169515263
221	0.2166267305
222	0.216551173
223	0.2162797159
224	0.2161140819
225	0.2158201924
226	0.2156617912
227	0.215473111
228	0.2151617533
229	0.2150005631
230	0.2145170059
231	0.2143424977
232	0.2141924103
233	0.2139513923
234	0.2138358542
235	0.2136165347
236	0.2133349356
237	0.2131914404
238	0.2131130272
239	0.2127345325
240	0.2125533653
241	0.2123632572
242	0.212128965
243	0.21197394
244	0.211803929
245	0.2116365469
246	0.2115151905
247	0.2111375899
248	0.2109402757
249	0.2106153064
250	0.2104164576
251	0.2102803554
252	0.2101407168
253	0.2099343416
254	0.2097640503
255	0.2095903162
256	0.2093683277
257	0.2091657156
258	0.2088868389
259	0.2087155201
260	0.2085379026
261	0.2083744038
262	0.2082122394
263	0.2079703006
264	0.2078599803
265	0.207656234
266	0.2073540174
267	0.2071567966
268	0.2069912427
269	0.2068287447
270	0.2065757699
271	0.2063854483
272	0.206228008
273	0.2060228338
274	0.2058786981
275	0.2055919346
276	0.2052808304
277	0.2050453772
278	0.2048624619
279	0.2046332406
280	0.2043274076
281	0.2042316463
282	0.2041084083
283	0.2040188122
284	0.2039407193
285	0.2036413184
286	0.2033606401
287	0.2032330384
288	0.2030650291
289	0.2028928028
290	0.2027047098
291	0.2024615967
292	0.2021464091
293	0.2019838978
294	0.2017330982
295	0.201542096
296	0.2012564668
297	0.2008799471
298	0.2007586441
299	0.2005230708
300	0.2003873556
301	0.2000413685
302	0.1998629503
303	0.1997808139
304	0.1996380794
305	0.1994748208
306	0.1992630943
307	0.1990846762
308	0.1989856854
309	0.1988098962
310	0.1986242185
311	0.1984800028
312	0.1984047522
313	0.1983241905
314	0.198254131
315	0.1980113382
316	0.1979057952
317	0.1976818584
318	0.1974610843
319	0.1973242348
320	0.1972326103
321	0.1971338064
322	0.1968686079
323	0.1968055544
324	0.1966996511
325	0.1964766084
326	0.196260198
327	0.1960264529
328	0.1958001407
329	0.195471128
330	0.1952372094
331	0.1951710866
332	0.1949131076
333	0.194713071
334	0.1945910207
335	0.1943989243
336	0.194295263
337	0.1941873447
338	0.193967131
339	0.1938704756
340	0.1937687092
341	0.1935717019
342	0.1933276948
343	0.1932119832
344	0.1929999498
345	0.1928483144
346	0.1926993479
347	0.1925931644
348	0.1924245146
349	0.19236018
350	0.192228308
351	0.1919614681
352	0.191772094
353	0.1916636552
354	0.1915459553
355	0.1914702644
356	0.1912936344
357	0.1911092111
358	0.1909989041
359	0.1908089428
360	0.1905754646
361	0.1905034968
362	0.1903217559
363	0.1901444853
364	0.1898285504
365	0.1897515651
366	0.1896583926
367	0.1894886218
368	0.1892559442
369	0.1890870542
370	0.1889695945
371	0.1888613692
372	0.1887799668
373	0.1887148982
374	0.188488159
375	0.1883532578
376	0.1882426706
377	0.1880583808
378	0.1879976492
379	0.187835605
380	0.1877047872
381	0.1876167792
382	0.1873608418
383	0.1871903638
384	0.1870401963
385	0.1868403466
386	0.1867863541
387	0.1864585958
388	0.186388216
389	0.1862613883
390	0.1860679041
391	0.1858420056
392	0.1856790672
393	0.1856196301
394	0.1854896798
395	0.1853985891
396	0.1852738298
397	0.1849876001
398	0.1848548341
399	0.184709137
400	0.1845944397
401	0.1844613667
402	0.1843626962
403	0.1842839227
404	0.1841548798
405	0.18404528
406	0.1839881515
407	0.1838247595
408	0.1837261424
409	0.1835461362
410	0.1834693377
411	0.1833669441
412	0.1831651461
413	0.1830383718
414	0.1828611013
415	0.1827728797
416	0.1826801209
417	0.1825192777
418	0.1823724597
419	0.1822414151
420	0.1821682864
421	0.1820282341
422	0.1819604165
423	0.1817719231
424	0.1816445884
425	0.1814891631
426	0.1813383951
427	0.1813122929
428	0.1812015455
429	0.181120837
430	0.1809187054
431	0.1807629865
432	0.1806237082
433	0.1805049941
434	0.1804272614
435	0.1802416905
436	0.1801258188
437	0.1800669555
438	0.1799908909
439	0.1798164762
440	0.1797465501
441	0.1796594495
442	0.1795098025
443	0.179389954
444	0.1791882227
445	0.1790775821
446	0.1789249592
447	0.1788256749
448	0.1787657707
449	0.1785390849
450	0.1784659562
451	0.1782671073
452	0.1782016651
453	0.1781250667
454	0.1780261427
455	0.1778602819
456	0.1778078374
457	0.1776813166
458	0.1776069868
459	0.1775682606
460	0.1774253526
461	0.1772950553
462	0.1771487444
463	0.1771186656
464	0.1770060633
465	0.1768603396
466	0.176778777
467	0.1767004171
468	0.1766050962
469	0.1765302326
470	0.1764737313
471	0.1763706037
472	0.1762870128
473	0.1761276508
474	0.1759368755
475	0.1758605974
476	0.175725536
477	0.1756339916
478	0.175508445
479	0.1754465391
480	0.1753738641
481	0.1753352046
482	0.175200984
483	0.1750000534
484	0.174907308
485	0.1748052346
486	0.1747230448
487	0.1745953631
488	0.1744644386
489	0.1743334741
490	0.1742377528
491	0.1741035188
492	0.1740452026
493	0.1739219647
494	0.1738450861
495	0.1737471229
496	0.1736583275
497	0.1735927919
498	0.1734490565
499	0.1734230744
500	0.1733180386
501	0.1731327346
502	0.1730376271
503	0.1729267196
504	0.1728903554
505	0.1727703869
506	0.1727136187
507	0.1725889262
508	0.17243641
509	0.1723487623
510	0.172264811
511	0.1721883327
512	0.1719269641
513	0.1718829267
514	0.1718021915
515	0.171683424
516	0.1716354233
517	0.1715152546
518	0.171467147
519	0.1713912426
520	0.1712631071
521	0.1711942754
522	0.1710602415
523	0.1709034818
524	0.1707671127
525	0.1706501467
526	0.1705131237
527	0.1703352126
528	0.1701673768
529	0.1700443256
530	0.1698148108
531	0.169718956
532	0.1696077283
533	0.1695392034
534	0.1694516891
535	0.1693444781
536	0.1691930695
537	0.168958804
538	0.1688443735
539	0.1686784059
540	0.1686207703
541	0.1684884312
542	0.1684359467
543	0.1683683293
544	0.1682096879
545	0.1680135747
546	0.1679621711
547	0.1678792207
548	0.1677040052
549	0.1675016601
550	0.1674771059
551	0.1673801969
552	0.1672738533
553	0.1671586355
554	0.1670561084
555	0.1670062928
556	0.1669617884
557	0.1668761023
558	0.1667471261
559	0.1667118428
560	0.1663625195
561	0.1662548414
562	0.1661384493
563	0.166089461
564	0.1659955146
565	0.1658501378
566	0.1657595676
567	0.1656927375
