iter	Passed	Remaining
0	14	13986
1	24	12048
2	38	12677
3	52	13080
4	63	12674
5	71	11836
6	78	11126
7	85	10620
8	92	10193
9	99	9827
10	106	9573
11	115	9480
12	123	9383
13	132	9330
14	140	9258
15	148	9107
16	156	9075
17	165	9031
18	173	8966
19	181	8904
20	191	8912
21	203	9030
22	211	8992
23	222	9034
24	230	8974
25	237	8902
26	244	8816
27	254	8820
28	262	8798
29	272	8803
30	281	8811
31	292	8837
32	301	8825
33	309	8790
34	318	8785
35	327	8770
36	337	8792
37	346	8763
38	354	8726
39	364	8750
40	374	8755
41	382	8734
42	390	8700
43	399	8678
44	408	8670
45	419	8694
46	428	8692
47	436	8663
48	444	8628
49	454	8629
50	463	8627
51	472	8607
52	480	8592
53	489	8572
54	496	8535
55	508	8566
56	517	8562
57	524	8524
58	533	8509
59	540	8468
60	550	8472
61	557	8431
62	566	8429
63	576	8434
64	587	8458
65	598	8463
66	606	8441
67	616	8451
68	627	8467
69	636	8456
70	646	8453
71	654	8442
72	665	8451
73	675	8455
74	683	8426
75	691	8402
76	698	8373
77	707	8368
78	721	8415
79	730	8395
80	736	8361
81	745	8340
82	753	8322
83	762	8310
84	770	8297
85	780	8289
86	787	8266
87	796	8253
88	805	8245
89	813	8223
90	822	8211
91	831	8203
92	839	8184
93	847	8168
94	854	8144
95	863	8128
96	872	8122
97	885	8150
98	893	8128
99	901	8110
100	910	8108
101	920	8106
102	929	8095
103	938	8084
104	947	8079
105	958	8084
106	965	8061
107	975	8059
108	984	8047
109	995	8054
110	1006	8059
111	1016	8057
112	1024	8044
113	1031	8016
114	1038	7994
115	1047	7981
116	1056	7975
117	1065	7965
118	1074	7952
119	1083	7942
120	1094	7947
121	1101	7924
122	1111	7928
123	1122	7928
124	1131	7923
125	1141	7917
126	1149	7903
127	1159	7896
128	1166	7874
129	1173	7856
130	1181	7838
131	1191	7832
132	1200	7827
133	1208	7811
134	1215	7789
135	1223	7775
136	1231	7754
137	1242	7760
